Element	ID	Name	Coord
ดิน	10001	ศิลาร่วง	m1
ดิน	10002	ท่อนไม้โจมตี	p2
ดิน	10003	กับดัก	j2
ดิน	10004	ปีศาจต้นไม้	r3
ดิน	10005	ยิงก้อนหิน	f3
ดิน	10006	ฟันใต้ดิน	t4
ดิน	10007	หินถล่ม	i4
ดิน	10008	ทรายบิน	e4
ดิน	10009	สลายคุ้มกัน	v5
ดิน	10010	ม่านคุ้มกัน	r5
ดิน	10011	ไท่ซานกดอัด	j5
ดิน	10012	ฟ้าถล่มดินแยก	f5
ดิน	10013	หมื่นม้าทะยาน	d5
ดิน	10014	สลายกระจก	s6
ดิน	10015	กระจก	q6
ดิน	10020	คาถาแผ่นดินไหว	ab1
ดิน	10021	กระบี่ทลายพสุธา	ad2
ดิน	10022	แยกผืนพิภพ	z2
ดิน	10023	ไอยราพิฆาต	z4
ดิน	10024	ทลายกวาดพันทัพ	z3
ดิน	10025	ค่ายกลดินทะลาย	ad3
ดิน	10026	กระจกศักดิ์สิทธิ์	ad4
ดิน	10027	สะเทือนไร้ขอบเขต	j6
ดิน	10028	ขวานยักษ์ทลายวิญญาณ	af2
ดิน	10029	ระเบิดดาวตกเหล็ก	c3
ดิน	10030	ระเบิดดาวหมาป่า	a4
ดิน	10031	ระฆังทองคุ้มกาย	q7
ดิน	10032	คชสารทลายศัตรู	d6
ดิน	10033	ฝ่ามือยูไล	af3
ดิน	10034	มังกรกลืนพสุธา	x3
น้ำ	11001	น้ำโถมท่วม	k1
น้ำ	11002	กำแพงน้ำแข็ง	n2
น้ำ	11003	กระบี่น้ำแข็ง	f2
น้ำ	11004	วารีคืนพลัง	p3
น้ำ	11005	น้ำพุทะลวง	d3
น้ำ	11006	วิชาคืนมาร	r4
น้ำ	11007	รักษาการบาดเจ็บ	l4
น้ำ	11008	น้ำป่า	b4
น้ำ	11009	คืนมารสุดยอด	t5
น้ำ	11010	สุดยอดการรักษา	j5
น้ำ	11011	ลูกเห็บ	d5
น้ำ	11012	สลายสภาวะ	p6
น้ำ	11013	วิชาฟื้นคืนชีพ	n6
น้ำ	11014	น้ำแข็งปิดคลุม	e6
น้ำ	11015	ละลายน้ำแข็ง	c6
น้ำ	11020	คาถาใจวารี	ab1
น้ำ	11021	จักรน้ำแข็งหมุนวน	z2
น้ำ	11022	สว่านน้ำแข็ง	z3
น้ำ	11023	คะนิ้งเยือกจิต	z4
น้ำ	11024	กระจกใสกลางน้ำ	ad2
น้ำ	11025	สลายสภาวะเลื่อนขั้น	ad3
น้ำ	11026	มือทิพย์คืนพลัง	ad4
น้ำ	11027	กงจักรน้ำแข็งพันปี	d7
น้ำ	11028	หมัดเกล็ดหิมะ	f7
น้ำ	11029	พลังเทพวารีฟื้นกลับ	v5
น้ำ	11030	น้ำค้างเซียน	j6
น้ำ	11031	พลังชำระล้างสรรพสิ่ง	af3
น้ำ	11032	สายธารแห่งชีวิต	af2
น้ำ	11033	อาชาพิฆาตศัตรู	x3
น้ำ	11034	กงจักรน้ำแข็ง	x4
ลม	13001	ลมพายุโจมตี	i1
ลม	13002	ลมสลาตัน	l2
ลม	13003	หลบหลีก	f2
ลม	13004	ลมคลั่ง	n3
ลม	13005	วิชาซ่อนร่าง	d3
ลม	13006	ลมพายุร้าย	p4
ลม	13007	โจมตีสลบ	l4
ลม	13008	วิชาแบ่งร่าง	d4
ลม	13009	ลมม้วนเมฆแยก	r5
ลม	13010	โจมตีต่อเนื่อง	k5
ลม	13011	วิชาย่อเล็ก	e5
ลม	13012	วิชาขยายใหญ่	c5
ลม	13013	โจมตีกระจาย	k6
ลม	13014	พลังปราณ	d6
ลม	13019	เวทย์ลมทรนง	ab1
ลม	13020	จิตรบแห่งลม	ad3
ลม	13021	เคลื่อนดาวย้ายดารา	ad2
ลม	13022	กระสุนลมทมิฬ	z2
ลม	13023	พายุไซโคลน	z4
ลม	13024	มายาโจมตีต่อเนื่อง	z3
ลม	13025	ไร้รูปไร้ลักษณ์	ad4
ลม	13026	สายฟ้าทลายสิ้น	r6
ลม	13027	วายุหมุนรุนแรง	p5
ลม	13028	กระบี่เหินพิชิตอาชา	r3
ลม	13029	หมอกภูผา	x3
ลม	13030	ผีดูดพลัง	d7
ลม	13031	ลมฟ้าสลาตัน	z5
ลม	13032	ซ่อนกายสายลม	b3
ลม	13033	พลังสายฟ้าสะเทือน	k7
ไฟ	12001	วิชาไฟเพลิง	k1
ไฟ	12002	ไฟร้อนแรง	o2
ไฟ	12003	ธนูไฟ	g2
ไฟ	12004	ลูกไฟ	p3
ไฟ	12005	กงจักรไฟ	n3
ไฟ	12006	รวมจิตโจมตี	f3
ไฟ	12007	ระบำไฟ	q4
ไฟ	12008	กงจักรพายุไฟ	m4
ไฟ	12009	กระบี่ไฟบิน	e4
ไฟ	12010	ไฟประลัยกัลป์	q5
ไฟ	12011	กงจักรไฟแปดทิศ	m5
ไฟ	12012	สะบั้นไฟคลั่ง	f5
ไฟ	12013	ไฟแท้สมาธิ	p6
ไฟ	12014	ไฟกวาดปฐพี	n6
ไฟ	12015	รุ้งขาวทะลุตะวัน	g6
ไฟ	12020	เวทย์ตะวันเพลิง	ab1
ไฟ	12021	กระบี่ทัณฑ์ตะวัน	ad2
ไฟ	12022	มังกรคลั่งกลืนตะวัน	ad4
ไฟ	12023	เพลิงธารไร้ต้าน	z2
ไฟ	12024	ตะวันคุ้มกาย	ad3
ไฟ	12025	วิญญาณกระหายรบ	z4
ไฟ	12026	ห้าอัสนีถล่มยอด	z3
ไฟ	12027	พลังหมัดอัคคี	c3
ไฟ	12028	ลูกไฟร้อนแรง	k5
ไฟ	12029	เพลิงผลาญพิภพ	r3
ไฟ	12030	อัญเชิญสายฟ้าอัคคี	r6
ไฟ	12031	หมัดหงส์อัคคี	g7
ไฟ	12032	เทพอัคคีทำลายล้าง	n7
